"path","review_decision","recommended_action","approved_action","owner_note"
"scripts/print_takeover_entrypoint.py","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"scripts/run_fast_checks.py","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"tests/test_loop_cycle_artifacts.py","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"tests/test_print_takeover_entrypoint.py","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"tests/test_run_fast_checks.py","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"docs/context/auditor_calibration_report.json","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/auditor_calibration_report.md","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/auditor_findings.json","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/auditor_fp_ledger.json","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/auditor_promotion_dossier.json","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/auditor_promotion_dossier.md","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/ceo_bridge_digest.md","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/ceo_go_signal.md","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/current_context.json","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/current_context.md","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
"docs/context/worker_status_aggregate.json","manual_generated_policy_decision","policy_decision_required_no_cleanup_apply","defer_no_apply_generated_policy","Explicitly deferred: resolve generated-artifact tracking policy before apply."
".sop_config.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"docs/context/w11_status.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"docs/decisions/phase5_architecture.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"docs/decisions/phase5_benchmark_policy_feedback.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"docs/decisions/phase5_extension_loading_policy.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"docs/decisions/phase5_governance_model.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"docs/handover/phase24c_handover.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"docs/next_phase_plan.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"docs/operator_reference.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"extension_allowlist.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/measure_context_reduction.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/run_baseline_benchmark.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/test_policy_proposal.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/utils/path_validator.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/utils/skill_resolver.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/validate_baseline.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/validate_extension_allowlist.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/validate_routing_matrix.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/validate_skill_activation.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/validate_skill_manifest.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"scripts/validate_skill_registry.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/registry.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/safe_db_migration/eval.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/safe_db_migration/examples/postgres_add_column.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/safe_db_migration/guardrails.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/safe_db_migration/README.md","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/safe_db_migration/skill.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/schemas/allowlist_schema.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/schemas/eval_schema.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/schemas/guardrails_schema.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/schemas/project_config_schema.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/schemas/registry_schema.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"skills/schemas/skill_schema.yaml","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"tests/test_phase5_benchmark.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"tests/test_skill_activation.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"tests/test_skill_infrastructure.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
"tests/test_subagent_routing.py","manual_track_or_drop","track_if_intended_else_delete","defer_no_apply_track_or_drop","Explicitly deferred: decide track vs drop in scoped non-cleanup review."
